Note ID	Korean Word	Word Meaning	Word Audio	Korean Expression	Expression Meaning	Expression Audio	Picture	Hint	Sort
dfb57d14-2cb3-11ed-a970-3b66871c921d				<div>방학에 중국에<b> 갈 거예요.</b></div><div></div>		"<img src=""paste-9df6336c2b3f3fbfe55ea681e1814ef41a95f7c3.jpg"">[sound:1-4-19-3.mp3]"			1-4-19-3	Beginner Retired
3ced6254-2cb3-11ed-a970-3b66871c921d				<div>댄 씨가 &nbsp;지금 음악을 듣<b>고 있어요</b></div><div></div>		"<img src=""paste-e75d2eafbe456d7383695d90ba1b0f2f33619480.jpg"">[sound:1-5-21-1.mp3]"			1-5-21-1	Beginner
dfb5c486-2cb3-11ed-a970-3b66871c921d				<div>미누 씨가 지금 집에 <b>가고 있어요</b>.</div><div></div>		"<img src=""paste-86f0fe9cc76b6f2883655ccf8e5e6f7067def7f9.jpg"">[sound:1-5-21-2.mp3]"			1-5-21-2	Beginner
dfb5edc6-2cb3-11ed-a970-3b66871c921d				<div>어제 친구가 웨슬리 씨한테 전화했어요. 그때 웨슬리 씨는 <b>자고 있었어요</b>.&nbsp;</div>		"<img src=""paste-8f0ef0bd6a4b6eb8b7f91a11a04a36ba3c14e630.jpg"">[sound:1-5-21-3.mp3]"			1-5-21-3	Beginner
dfb614fe-2cb3-11ed-a970-3b66871c921d				<div>미국에 <b>갔었어요</b>.</div>		"<img src=""paste-91cc241a0a73780bf921691c3fc980a2e740ea58.jpg"">[sound:1-6-23-1.mp3]"			1-6-23-1	Beginner
3ad38c1e-2cb3-11ed-a970-3b66871c921d				<div>중국에서 <b>살았었어요.</b>&nbsp;</div>		"<img src=""paste-831db4b0dd6a8f9dffe271d758f22b1e316fad79.jpg"">[sound:1-6-23-2.mp3]"			1-6-23-2	Beginner Retired
dfb65e3c-2cb3-11ed-a970-3b66871c921d				<div>아버지가 <b>뚱뚱했었어요</b>.</div>		"<img src=""paste-d87cdb2e22def6e5b0f4c49cdf8d2f8080dd25b6.jpg"">[sound:1-6-23-3.mp3]"			1-6-23-3	Beginner Retired
dfb6888a-2cb3-11ed-a970-3b66871c921d				<div>한국 사람이에요.</div><div><br></div><div>한국 사람이 <b>아니에요.</b>&nbsp;</div>		"<img src=""paste-0bc2d161cf45d784fdae03af2aad42fa8662f683.jpg"">[sound:2-1-25-1.mp3]"			2-1-25-1	Beginner Retired
3f537768-2cb3-11ed-a970-3b66871c921d				<div>돈이 있어요.</div><div><br></div><div>돈이 <b>없어요.</b>&nbsp;</div>		"<img src=""paste-942c571c4751e50e383d98330eac7d3c54d187b3.jpg"">[sound:2-1-25-2.mp3]"			2-1-25-2	Beginner Retired
dfb6cbc4-2cb3-11ed-a970-3b66871c921d				<div>한국말을 알아요.</div><div><br></div><div>한국말을 <b>몰라요.</b></div><div></div>		"<img src=""paste-0bfc4b35ab0e671f64f40e753b23b4259db6da04.jpg"">[sound:2-1-25-3.mp3]"			2-1-25-3	Beginner Retired
dfb6f590-2cb3-11ed-a970-3b66871c921d				<div>저는 오징어를 <b>안</b> 먹어요.</div><div><br></div><div>저는 오징어를 먹<b>지 않아요</b></div>		"<img src=""paste-d748f3f4024c162ca51b1fbdd1240c369975494c.jpg"">[sound:2-2-27-1.mp3]"			2-2-27-1	Beginner Retired
dfb71cb4-2cb3-11ed-a970-3b66871c921d				<div>그 구두는 <b>안</b> 예뻐요.</div><div><br></div><div>그 구두는 예쁘<b>지 않아요.</b></div>		"<img src=""paste-726235c350e9bc9532cbe2da3cdf8b49cdadecd1.jpg"">[sound:2-2-27-2.mp3]"			2-2-27-2	Beginner Retired
dfb74504-2cb3-11ed-a970-3b66871c921d				<div>방이 <b>안</b> 넓어요.</div><div><br></div><div>방이 넓<b>지 않아요.</b></div>		"<img src=""paste-6e0be0db7a3b351d329fbbdacddeb8fbba692b4a.jpg"">[sound:2-2-27-3.mp3]"			2-2-27-3	Beginner Retired
dfb7710a-2cb3-11ed-a970-3b66871c921d				<div>저는 수영을 <b>못해요</b>.</div><div><br></div><div>저는 수영하<b>지 못해요</b>.</div>		"<img src=""paste-954743fc7ee4019117ae9a64024e9c9e2470a2f6.jpg"">[sound:2-3-29-1.mp3]"			2-3-29-1	Beginner Retired
3fdb782a-2cb3-11ed-a970-3b66871c921d				<div>오늘은 술을 <b>못</b> 마셔요.</div><div><br></div><div>오늘은 술을 마시<b>지 못해요</b>.</div>		"<img src=""paste-3d39d3ebab78607bd54f524cf7936a5fb45d60ef.jpg"">[sound:2-3-29-2.mp3]"			2-3-29-2	Beginner Retired
dfb7c9f2-2cb3-11ed-a970-3b66871c921d				<div>저는 노래를 <b>못</b> 불러요</div><div><br></div><div>저는 노래를 부르<b>지 못해요</b>.</div>		"<img src=""paste-dadf2ea9b39dbc0ef44547abadd8101ad47fc5d4.jpg"">[sound:2-3-29-3.mp3]"			2-3-29-3	Beginner Retired
dfb80ebc-2cb3-11ed-a970-3b66871c921d				<div>날씨<b>가</b> 좋아요.&nbsp;</div>		"<img src=""paste-592f99220728d204d2e72bd2dc3333ff136c4ec1.jpg"">[sound:3-1-31-1.mp3]"			3-1-31-1	Beginner Retired
dfb83a04-2cb3-11ed-a970-3b66871c921d				<div>옛날에 공주<b>가</b> 있었어요.&nbsp;</div>		"<img src=""paste-d7122976c602fd72aed296736c8749616ac8782d.jpg"">[sound:3-1-31-2.mp3]"			3-1-31-2	Beginner Retired
dfb86196-2cb3-11ed-a970-3b66871c921d				<div>저기 재준 씨<b>가</b> 와요.&nbsp;</div>		"<img src=""paste-828a6f971605322be4ea4be7e0ec828095f59a17.jpg"">[sound:3-1-31-3.mp3]"			3-1-31-3	Beginner
4063a344-2cb3-11ed-a970-3b66871c921d				<div>안녕하세요? 저<b>는</b>&nbsp;댄이에요.</div>		"<img src=""paste-1421745891138734bb2ebebdb96687bc592ba7cd.jpg"">[sound:3-2-33-1.mp3]"			3-2-33-1	Beginner
dfb8ab42-2cb3-11ed-a970-3b66871c921d				<div>형<b>은</b> 키가 커요. 동생<b>은</b> 키가 작아요.&nbsp;</div>		"<img src=""paste-5a0936fa073e1ea2c48118956bb655248b83cc6d.jpg"">[sound:3-2-33-2.mp3]"			3-2-33-2	Beginner Retired
dfb8f584-2cb3-11ed-a970-3b66871c921d				<div>부디 씨<b>는</b> 운동을 잘해요. 그렇지만 공부<b>는</b> 못해요</div><div></div>		"<img src=""paste-517228f901d301fc2a403ea09d1f36e22ab4c38c.jpg"">[sound:3-2-33-3.mp3]"			3-2-33-3	Beginner
4d89e4e8-2cb3-11ed-a970-3b66871c921d				<div>부디 씨가 영화<b>를</b> 봐요.&nbsp;</div>		"<img src=""paste-6e51b531f9af790b255cde1afd75af6b44a81f69.jpg"">[sound:3-3-35-1.mp3]"			3-3-35-1	Beginner
dfb95998-2cb3-11ed-a970-3b66871c921d				<div>아버지가 신문<b>을</b> 읽어요.&nbsp;</div>		"<img src=""paste-0fde5d33a0bb4ae832f039e5c2bc259169d2e6e8.jpg"">[sound:3-3-35-2.mp3]"			3-3-35-2	Beginner
dfb98d46-2cb3-11ed-a970-3b66871c921d				<div>요코 씨가 음악<b>을</b> 들어요.&nbsp;</div>		"<img src=""paste-5e230c7f2e4f59b5183c7cf65d2c5a71b56d214f.jpg"">[sound:3-3-35-3.mp3]"			3-3-35-3	Beginner Retired
dfb9b942-2cb3-11ed-a970-3b66871c921d				<div>저는 수박<b>과</b> 딸기를 좋아해요.</div><div><br></div><div>저는 딸기<b>와</b> 수박을 좋아해요.</div>		"<img src=""paste-719907d75fce4831321aaae5e4127e9b7d7b985c.jpg"">[sound:3-4-37-1.mp3]"			3-4-37-1	Beginner
dfb9e1f6-2cb3-11ed-a970-3b66871c921d				<div>어제 가방<b>이랑</b> 모자를 샀어요.</div><div><br></div><div>어제 모자<b>랑</b> 가방을 샀어요.&nbsp;</div>		"<img src=""paste-5f9d4dad6f7fbbf6fd9c6e164dc25abab15c5a76.jpg"">[sound:3-4-37-2.mp3]"			3-4-37-2	Beginner Retired
dfba0d84-2cb3-11ed-a970-3b66871c921d				<div>햄버거<b>하고</b> 콜라 주세요</div>		"<img src=""paste-daa0237df69974750d323e2f37d6a9bbab5d8d8a.jpg"">[sound:3-4-37-3.mp3]"			3-4-37-3	Beginner Retired
dfba3732-2cb3-11ed-a970-3b66871c921d				<div>이것은 웨슬리<b>의</b> 책이에요.</div>		"<img src=""paste-ef0c9e6ea1e939ea3aac15f699a9c0308753844d.jpg"">[sound:3-5-39-1.mp3]"			3-5-39-1	Beginner Retired
dfba5e7e-2cb3-11ed-a970-3b66871c921d				<div>이분은 부디 씨<b>의 </b>선생님입니다.&nbsp;</div>		"<img src=""paste-7ebb408bb82e12655522335fde1a32a9cbcb41de.jpg"">[sound:3-5-39-2.mp3]"			3-5-39-2	Beginner Retired
dfba85de-2cb3-11ed-a970-3b66871c921d				<div><b>제</b> 이름은 요코입니다.&nbsp;</div>		"<img src=""paste-22dea45ae6275e8c25c62f878c1030b35103f437.jpg"">[sound:3-5-39-3.mp3]"			3-5-39-3	Beginner Retired
dfbaae1a-2cb3-11ed-a970-3b66871c921d				<div>친구가 한국<b>에</b> 와요.&nbsp;</div>		"<img src=""paste-59b916b8f5ecffcea15bb2e7e978f8d94458fda2.jpg"">[sound:3-6-41-1.mp3]"			3-6-41-1	Beginner Retired
dfbad584-2cb3-11ed-a970-3b66871c921d				<div>동생이 대학교<b>에</b> 다녀요.&nbsp;</div>		"<img src=""paste-652d71e06817a1514787d1c7eb3b8c0450ab7054.jpg"">[sound:3-6-41-2.mp3]"			3-6-41-2	Beginner
dfbafee2-2cb3-11ed-a970-3b66871c921d				<div>다음 달에 고향<b>에</b> 돌아가요.&nbsp;</div>		"<img src=""paste-79ce971130e703a5daef6d7003881e8d6568ae9c.jpg"">[sound:3-6-41-3.mp3]"			3-6-41-3	Beginner
dfbb2c82-2cb3-11ed-a970-3b66871c921d				<div>저는 아침 8시<b>에</b> 일어나요.&nbsp;</div>		"<img src=""paste-8303f3f6e57fb1cebf4b7b3f7b0ea2024ebddb26.jpg"">[sound:3-7-43-1.mp3]"			3-7-43-1	Beginner Retired
dfbb5a9a-2cb3-11ed-a970-3b66871c921d				<div>3월 2일<b>에</b> 한국에 왔어요.&nbsp;</div>		"<img src=""paste-930f9bf5b885a34ed1660e5b2e357647478460d8.jpg"">[sound:3-7-43-2.mp3]"			3-7-43-2	Beginner
dfbb83f8-2cb3-11ed-a970-3b66871c921d				<div>토요일<b>에</b> 만나요.&nbsp;</div>		"<img src=""paste-56137c0830cb725283a22c86e423c443265c3af6.jpg"">[sound:3-7-43-3.mp3]"			3-7-43-3	Beginner Retired
dfbbb1ac-2cb3-11ed-a970-3b66871c921d				<div>학교에 가요. 학교<b>에서</b> 공부를 해요.&nbsp;</div>		"<img src=""paste-4083b3acaa96022668dacc5f4ef79fe32ef67a78.jpg"">[sound:3-8-45-1.mp3]"			3-8-45-1	Beginner Retired
dfbbdaf6-2cb3-11ed-a970-3b66871c921d				<div>극장에 갔어요. 극장<b>에서</b>&nbsp;영화를 봤어요.&nbsp;</div>		"<img src=""paste-4ee6ae3cef049a4409f5fc76e8c624242178ec3b.jpg"">[sound:3-8-45-2.mp3]"			3-8-45-2	Beginner Retired
dfbc03fa-2cb3-11ed-a970-3b66871c921d				<div>식당에 갈 거예요. 식당<b>에서</b> 밥을 먹을 거예요.&nbsp;</div>		"<img src=""paste-b4153218c7de3e07b712b637edd83ddfefc9fd55.jpg"">[sound:3-8-45-3.mp3]"			3-8-45-3	Beginner Retired
dfbc2d44-2cb3-11ed-a970-3b66871c921d				<div>학교<b>에서</b> 집<b>까지</b> 걸어왔어요.</div>		"<img src=""paste-4a85b8dd68ef3b3d18300ae907db879641b099f9.jpg"">[sound:3-9-47-1.mp3]"			3-9-47-1	Beginner Retired
dfbc54e0-2cb3-11ed-a970-3b66871c921d				<div>서울<b>에서</b> 부산<b>까지</b> 시간이 얼마나 걸려요?&nbsp;</div>		"<img src=""paste-e62cd72ebbaa338b46a064655f9c8a4491e323aa.jpg"">[sound:3-9-47-2.mp3]"			3-9-47-2	Beginner Retired
dfbc8000-2cb3-11ed-a970-3b66871c921d				<div>오전 9시<b>부터</b> 오후 5시<b>까지</b> 일해요.&nbsp;</div>		"<img src=""paste-bb80e4e9849996d47ac1f351413caaa940e0e7a3.jpg"">[sound:3-9-47-3.mp3]"			3-9-47-3	Beginner Retired
dfbcaa08-2cb3-11ed-a970-3b66871c921d				<div>재준 씨가 &nbsp;캐럴 씨<b>에게</b> 선물을 줍니다.&nbsp;</div>		"<img src=""paste-76f16cfb801e62a278d7d3bea024f925e7186a31.jpg"">[sound:3-10-49-1.mp3]"			3-10-49-1	Beginner
dfbcd80c-2cb3-11ed-a970-3b66871c921d				<div>선생님이 학생들<b>에게</b> 한국어를 가르칩니다.&nbsp;</div>		"<img src=""paste-e246aa4fea7d492b5f2c2a62f97d3fb305366046.jpg"">[sound:3-10-49-2.mp3]"			3-10-49-2	Beginner
dfbd0746-2cb3-11ed-a970-3b66871c921d				<div>동생이 개<b>한테</b>&nbsp;밥을 줘요.&nbsp;</div>		"<img src=""paste-acf3924213d8485ac4c9eb6b147f30b96b58bf8d.jpg"">[sound:3-10-49-3.mp3]"			3-10-49-3	Beginner
dfbd3806-2cb3-11ed-a970-3b66871c921d				<div>무쿨 씨는 인도 사람이에요. 그리고 친구<b>도</b>&nbsp;인도 사람이에요.&nbsp;</div>		"<img src=""paste-a48e4eafd25880bc0b4611f79bf53855e368a7a2.jpg"">[sound:3-11-51-1.mp3]"			3-11-51-1	Beginner Retired
dfbd6d12-2cb3-11ed-a970-3b66871c921d				<div>아버지는 키가 커요. 그리고 저<b>도</b> 키가 커요.</div>		"<img src=""paste-a9398b6cd38db83a2bbb0c953f50a246df8d64e6.jpg"">[sound:3-11-51-2.mp3]"			3-11-51-2	Beginner
dfbd9f26-2cb3-11ed-a970-3b66871c921d				<div>왕징 씨는 사과를 좋아해요. 그리고 딸기<b>도</b> 좋아해요.&nbsp;</div>		"<img src=""paste-fff3a9ccc6e16dcfb718246ccf544302ffa97b7e.jpg"">[sound:3-11-51-3.mp3]"			3-11-51-3	Beginner
dfbdcee2-2cb3-11ed-a970-3b66871c921d				<div>오늘 학교에 캐럴 씨<b>만</b> 왔어요.</div>		"<img src=""paste-5a54dd68bd22fc6ffdcbe311c8ca0b9d1c9e52ae.jpg"">[sound:3-12-53-1.mp3]"			3-12-53-1	Beginner Retired
dfbdfe80-2cb3-11ed-a970-3b66871c921d				<div>댄 씨는 야채는 안 먹어요. 고기<b>만</b> 먹어요.&nbsp;</div>		"<img src=""paste-7e0de30d779a4723fe143ae8647f25bc3e037f5c.jpg"">[sound:3-12-53-2.mp3]"			3-12-53-2	Beginner
dfbe2ad6-2cb3-11ed-a970-3b66871c921d				<div>5분<b>만</b> 기다려 주세요.</div>		"<img src=""paste-2b6631c18347bc8e4a5ee566f61f66278dcf1861.jpg"">[sound:3-12-53-3.mp3]"			3-12-53-3	Beginner
dfbe5146-2cb3-11ed-a970-3b66871c921d				<div>사과가 한 개<b>밖에</b> 안 남았어요.&nbsp;</div>		"<img src=""paste-c0596386865c148e6cc9c0d9c3eaa4ebb71eb4de.jpg"">[sound:3-13-55-1.mp3]"			3-13-55-1	Beginner
dfbe79b4-2cb3-11ed-a970-3b66871c921d				<div>냉장고에 우유<b>밖에</b> 없어요.</div>		"<img src=""paste-c0511041bd30af57cc7576a8f06741b0f51e9a59.jpg"">[sound:3-13-55-2.mp3]"			3-13-55-2	Beginner
dfbea614-2cb3-11ed-a970-3b66871c921d				<div>선물을 한 개<b>밖에</b> 못 받았어요.</div>		"<img src=""paste-fe34d5dfa10a317369c1d6d23aa153506e441dda.jpg"">[sound:3-13-55-3.mp3]"			3-13-55-3	Beginner
dfbed134-2cb3-11ed-a970-3b66871c921d				<div>여기에서 오른쪽<b>으로</b> 가세요.&nbsp;</div>		"<img src=""paste-453402e119a8305f2da03d9345cde6bc22af0818.jpg"">[sound:3-14-57-1.mp3]"			3-14-57-1	Beginner
dfbefcb8-2cb3-11ed-a970-3b66871c921d				<div>서울에서 제주도까지 비행기<b>로</b> 가요.&nbsp;</div>		"<img src=""paste-5642281a74616e3d5e7d352e371bceda2ac70d10.jpg"">[sound:3-14-57-2.mp3]"			3-14-57-2	Beginner
dfbf24fe-2cb3-11ed-a970-3b66871c921d				<div>가위<b>로</b> 종이를 잘라요.&nbsp;</div>		"<img src=""paste-4eb428c74ee1bd28b917f10883728541220b8517.jpg"">[sound:3-14-57-3.mp3]"			3-14-57-3	Beginner
dfbf4b32-2cb3-11ed-a970-3b66871c921d				<div>땅콩<b>으로</b> 잼을 만들었어요</div>		"<img src=""paste-e4e8e9f88fe1807c1a84b941462237eb68549763.jpg"">[sound:3-14-57-4.mp3]"			3-14-57-4	Beginner Retired
dfbf71c0-2cb3-11ed-a970-3b66871c921d				<div>아침에 빵<b>이나&nbsp;</b>밥을 먹어요.</div>		"<img src=""paste-53589e837cf3e53ba804fa980e0d5fb115a68c32.jpg"">[sound:3-15-59-1.mp3]"			3-15-59-1	Beginner
dfbf97fe-2cb3-11ed-a970-3b66871c921d				<div>목이 말라요. 물<b>이나</b> 주스 주세요.&nbsp;</div>		"<img src=""paste-9129a02de65334d6c1cf566d6116b69b3a9e499f.jpg"">[sound:3-15-59-2.mp3]"			3-15-59-2	Beginner
dfbfc0bc-2cb3-11ed-a970-3b66871c921d				<div>방학에 제주도<b>나</b> 설악산에 가고 싶어요.&nbsp;</div>		"<img src=""paste-d2d998b19a38cc731a6ddace3ee3dd2b33624e5e.jpg"">[sound:3-15-59-3.mp3]"			3-15-59-3	Beginner
dfbfea56-2cb3-11ed-a970-3b66871c921d				<div>친구를 두 시간<b>이나</b> 기다렸어요.&nbsp;</div>		"<img src=""paste-eff00572af6f40a7790ab8a03cdf3f3330fb4bc4.jpg"">[sound:3-16-61-1.mp3]"			3-16-61-1	Beginner Retired
dfc0154e-2cb3-11ed-a970-3b66871c921d				<div>아이가 여덟 명<b>이나</b> 있어요.&nbsp;</div>		"<img src=""paste-5dac4da632e83424c7b7aa1b242a7cde53a83395.jpg"">[sound:3-16-61-2.mp3]"			3-16-61-2	Beginner
dfc03cf4-2cb3-11ed-a970-3b66871c921d				<div>사과가 맛있어요. 그래서 열 개<b>나</b> 먹었어요.&nbsp;</div>		"<img src=""paste-48e305a2b8390a517ee6bcc99a5eb8807344f01f.jpg"">[sound:3-16-61-3.mp3]"			3-16-61-3	Beginner
dfc06c2e-2cb3-11ed-a970-3b66871c921d				<div>파티에 20명<b>쯤</b> 왔어요.&nbsp;</div>		"<img src=""paste-a313beabc2224dd49b53844ba4be6d897647692c.jpg"">[sound:3-17-63-1.mp3]"			3-17-63-1	Beginner
dfc0971c-2cb3-11ed-a970-3b66871c921d				<div>공항에 한 시<b>쯤&nbsp;</b>도착했어요.&nbsp;</div>		"<img src=""paste-709a58c7c9ddfc7ce00d34e81e7c44e0ade34f73.jpg"">[sound:3-17-63-2.mp3]"			3-17-63-2	Beginner Retired
dfc0bde6-2cb3-11ed-a970-3b66871c921d				<div>요즘 토마토가 3,000원<b>쯤</b> 해요.&nbsp;</div>		"<img src=""paste-641ace1debaf6c0b171fd0e4b23d1ff3cba5ae11.jpg"">[sound:3-17-63-3.mp3]"			3-17-63-3	Beginner
dfc0e438-2cb3-11ed-a970-3b66871c921d				<div>가수<b>처럼</b> 노래를 잘 불러요.&nbsp;</div>		"<img src=""paste-8d8c135d36ade0faab33b4801e18dffec8d4f36e.jpg"">[sound:3-18-65-1.mp3]"			3-18-65-1	Beginner Retired
dfc10abc-2cb3-11ed-a970-3b66871c921d				<div>하영 씨는 천사<b>같이</b> 착해요.&nbsp;</div>		"<img src=""paste-af3b05560004774166413be65138c52232c0e378.jpg"">[sound:3-18-65-2.mp3]"			3-18-65-2	Beginner Retired
dfc1310e-2cb3-11ed-a970-3b66871c921d				<div>영화배우<b>같이</b> 잘생겼어요.</div>		"<img src=""paste-5ae7f8f6c12f80d2261e729acc264f0f4dea7cb8.jpg"">[sound:3-18-65-3.mp3]"			3-18-65-3	Beginner
dfc15756-2cb3-11ed-a970-3b66871c921d				<div>비행기가 기차<b>보다</b> 빨라요.</div><div><br></div><div>기차<b>보다</b> 비행기가 빨라요.</div>		"<img src=""paste-8cfd7fb0fb1b5fba3a707ee69738cc620f831c33.jpg"">[sound:3-19-67-1.mp3]"			3-19-67-1	Beginner
dfc180b4-2cb3-11ed-a970-3b66871c921d				<div>동생이 언니<b>보다</b> 더 커요.</div><div><b><br></b></div><div>언니<b>보다</b> 동생이 더 커요.&nbsp;<br></div>		"<img src=""paste-ddfca9ec56c325ba9ec63a02d0bd1b748d4f0e74.jpg"">[sound:3-19-67-2.mp3]"			3-19-67-2	Beginner
dfc1a94a-2cb3-11ed-a970-3b66871c921d				<div>백화점이 시장<b>보다</b> 더 비싸요.</div><div><br></div><div>시장<b>보다</b> 백화점이 더 비싸요.</div>		"<img src=""paste-ef1a9a3fdcfd209989b9298c8372997918a5ef77.jpg"">[sound:3-19-67-3.mp3]"			3-19-67-3	Beginner
dfc1d00a-2cb3-11ed-a970-3b66871c921d				<div>캐럴 씨는 키가 크<b>고</b> 날씬해요.&nbsp;</div>		"<img src=""paste-131edeec5f520f913a170975f247971080f0e0ff.jpg"">[sound:4-1-71-1.mp3]"			4-1-71-1	Beginner Retired
dfc1f6c0-2cb3-11ed-a970-3b66871c921d				<div>미누 씨는 한국 사람이<b>고</b>&nbsp;댄 씨는 영국 사람입니다.&nbsp;</div>		"<img src=""paste-4b30d5fdc95bf957c5609b95e327a47c7b403f2e.jpg"">[sound:4-1-71-2.mp3]"			4-1-71-2	Beginner
dfc21d26-2cb3-11ed-a970-3b66871c921d				<div>어제 파티에서 티루엔 씨가 노래도 부르<b>고</b> 춤도 췄어요.&nbsp;</div>		"<img src=""paste-21961e0aa3689c00b437fdfa06bfabc99a867ddc.jpg"">[sound:4-1-71-3.mp3]"			4-1-71-3	Beginner Retired
dfc246c0-2cb3-11ed-a970-3b66871c921d				<div>아침에 빵을 먹<b>거나</b> 우유를 마셔요.&nbsp;</div>		"<img src=""paste-480028b62530a49fa00c6c23d550ba8355a580a3.jpg"">[sound:4-2-73-1.mp3]"			4-2-73-1	Beginner
dfc26d9e-2cb3-11ed-a970-3b66871c921d				<div>주말에 음악을 듣<b>거나</b> 영화를 볼 거예요.&nbsp;</div>		"<img src=""paste-98b2e483435dbc120f64ad2665389566577afc41.jpg"">[sound:4-2-73-2.mp3]"			4-2-73-2	Beginner
dfc295bc-2cb3-11ed-a970-3b66871c921d				<div>바쁘<b>거나</b> 가방이 무거울 때 택시를 타요.&nbsp;</div>		"<img src=""paste-fe95126c2fea60d518e6e00e96a48e26846573d6.jpg"">[sound:4-2-73-3.mp3]"			4-2-73-3	Beginner Retired
dfc2bc18-2cb3-11ed-a970-3b66871c921d				<div>한국말은 어렵<b>지만</b> 재미있어요.&nbsp;</div>		"<img src=""paste-4d4b1dbb600196798c9b286d7a55d28ea40d38b2.jpg"">[sound:4-3-75-1.mp3]"			4-3-75-1	Beginner
dfc2e814-2cb3-11ed-a970-3b66871c921d				<div>형은 크<b>지만</b> 동생은 작아요.</div>		"<img src=""paste-832dd09876646dd0e97c31b29f91acd31f5a6d8b.jpg"">[sound:4-3-75-2.mp3]"			4-3-75-2	Beginner
dfc311f4-2cb3-11ed-a970-3b66871c921d				<div>하영 씨는 많이 먹<b>지만</b> 날씬해요.&nbsp;</div>		"<img src=""paste-61695b21902182822a7308097a4944add4bffa66.jpg"">[sound:4-3-75-3.mp3]"			4-3-75-3	Beginner Retired
dfc3388c-2cb3-11ed-a970-3b66871c921d				<div>낮에는 차가 <b>많은데</b> 밤에는 차가 없어요.&nbsp;</div>		"<img src=""paste-08f2a863ffb01c9e6916c5cab2fa35f2901f471d.jpg"">[sound:4-4-77-1.mp3]"			4-4-77-1	Beginner
dfc35ed4-2cb3-11ed-a970-3b66871c921d				<div>저는 오빠는&nbsp;<b>있는데</b>&nbsp;언니는 없어요.&nbsp;</div>		"<img src=""paste-a305ddd14496a9f32a25236eac29e638b7840e64.jpg"">[sound:4-4-77-2.mp3]"			4-4-77-2	Beginner
dfc3851c-2cb3-11ed-a970-3b66871c921d				<div>노래는 <b>못하는데</b> 춤은 잘 춰요.&nbsp;</div>		"<img src=""paste-e8a56a3c2d5d08e447d5977c9f049c79ef250fcd.jpg"">[sound:4-4-77-3.mp3]"			4-4-77-3	Beginner
dfc3ab6e-2cb3-11ed-a970-3b66871c921d				<div>2년 <b>전에</b> 한국에 왔습니다.&nbsp;</div>		"<img src=""paste-c5b9c13a445a4f6fc2a0b26632ff922828ad04a4.jpg"">[sound:5-1-79-1.mp3]"			5-1-79-1	Beginner Retired
